Session,Team,No,Space,Action,Erros,Attempts,Score
1,POL,6,3,3,0.0,0.0,0.0
1,POL,6,6,3,1.0,0.0,0.0
1,POL,16,6,8,0.0,0.0,0.0
1,POL,19,6,5,0.0,0.0,0.0
1,POL,20,12,6,0.0,0.0,0.0
1,POL,15,3,2,1.0,0.0,0.0
1,POL,17,6,8,0.0,1.0,0.0
1,POL,19,2,5,0.0,1.0,0.0
1,POL,16,2,1,0.0,0.0,1.0
1,POL,17,4,3,1.0,0.0,0.0
1,POL,16,5,8,0.0,1.0,0.0
1,POL,19,2,5,0.0,1.0,0.0
1,POL,14,8,3,1.0,0.0,0.0
1,POL,14,8,3,1.0,0.0,0.0
